PRODUCTO,COLOR,GENERO,PRODUCTO_BASE64,PRODUCTOS_BASE64
57097727,56,M,IHsgImMiOiAiNTYiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3MjcifSA=,IFsgeyAiYyI6ICI1NiIsICJpIjogIjU3MDk3NzI3In0gXSA=
57097727,28,M,IHsgImMiOiAiMjgiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3MjcifSA=,IFsgeyAiYyI6ICIyOCIsICJpIjogIjU3MDk3NzI3In0gXSA=
57097718,43,M,IHsgImMiOiAiNDMiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3MTgifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MDk3NzE4In0gXSA=
57097718,05,M,IHsgImMiOiAiMDUiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3MTgifSA=,IFsgeyAiYyI6ICIwNSIsICJpIjogIjU3MDk3NzE4In0gXSA=
57097717,92,D,IHsgImMiOiAiOTIiLCAiZyI6ICJEIiwgImkiOiAiNTcwOTc3MTcifSA=,IFsgeyAiYyI6ICI5MiIsICJpIjogIjU3MDk3NzE3In0gXSA=
57097716,99,M,IHsgImMiOiAiOTkiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3MTYifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk3NzE2In0gXSA=
57097716,OR,M,IHsgImMiOiAiT1IiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3MTYifSA=,IFsgeyAiYyI6ICJPUiIsICJpIjogIjU3MDk3NzE2In0gXSA=
57097715,05,M,IHsgImMiOiAiMDUiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3MTUifSA=,IFsgeyAiYyI6ICIwNSIsICJpIjogIjU3MDk3NzE1In0gXSA=
57097715,43,M,IHsgImMiOiAiNDMiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3MTUifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MDk3NzE1In0gXSA=
57097715,99,M,IHsgImMiOiAiOTkiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3MTUifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk3NzE1In0gXSA=
57097713,43,U,IHsgImMiOiAiNDMiLCAiZyI6ICJVIiwgImkiOiAiNTcwOTc3MTMifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MDk3NzEzIn0gXSA=
57097710,99,U,IHsgImMiOiAiOTkiLCAiZyI6ICJVIiwgImkiOiAiNTcwOTc3MTAifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk3NzEwIn0gXSA=
57097709,30,M,IHsgImMiOiAiMzAiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3MDkifSA=,IFsgeyAiYyI6ICIzMCIsICJpIjogIjU3MDk3NzA5In0gXSA=
57097708,99,M,IHsgImMiOiAiOTkiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3MDgifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk3NzA4In0gXSA=
57097708,03,M,IHsgImMiOiAiMDMiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3MDgifSA=,IFsgeyAiYyI6ICIwMyIsICJpIjogIjU3MDk3NzA4In0gXSA=
57097701,56,H,IHsgImMiOiAiNTYiLCAiZyI6ICJIIiwgImkiOiAiNTcwOTc3MDEifSA=,IFsgeyAiYyI6ICI1NiIsICJpIjogIjU3MDk3NzAxIn0gXSA=
57097700,37,H,IHsgImMiOiAiMzciLCAiZyI6ICJIIiwgImkiOiAiNTcwOTc3MDAifSA=,IFsgeyAiYyI6ICIzNyIsICJpIjogIjU3MDk3NzAwIn0gXSA=
57097125,77,D,IHsgImMiOiAiNzciLCAiZyI6ICJEIiwgImkiOiAiNTcwOTcxMjUifSA=,IFsgeyAiYyI6ICI3NyIsICJpIjogIjU3MDk3MTI1In0gXSA=
57097123,99,A,IHsgImMiOiAiOTkiLCAiZyI6ICJBIiwgImkiOiAiNTcwOTcxMjMifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk3MTIzIn0gXSA=
57097121,56,D,IHsgImMiOiAiNTYiLCAiZyI6ICJEIiwgImkiOiAiNTcwOTcxMjEifSA=,IFsgeyAiYyI6ICI1NiIsICJpIjogIjU3MDk3MTIxIn0gXSA=
57097120,OR,Q,IHsgImMiOiAiT1IiLCAiZyI6ICJRIiwgImkiOiAiNTcwOTcxMjAifSA=,IFsgeyAiYyI6ICJPUiIsICJpIjogIjU3MDk3MTIwIn0gXSA=
57097116,38,E,IHsgImMiOiAiMzgiLCAiZyI6ICJFIiwgImkiOiAiNTcwOTcxMTYifSA=,IFsgeyAiYyI6ICIzOCIsICJpIjogIjU3MDk3MTE2In0gXSA=
57097115,85,A,IHsgImMiOiAiODUiLCAiZyI6ICJBIiwgImkiOiAiNTcwOTcxMTUifSA=,IFsgeyAiYyI6ICI4NSIsICJpIjogIjU3MDk3MTE1In0gXSA=
57097111,95,O,IHsgImMiOiAiOTUiLCAiZyI6ICJPIiwgImkiOiAiNTcwOTcxMTEifSA=,IFsgeyAiYyI6ICI5NSIsICJpIjogIjU3MDk3MTExIn0gXSA=
57096728,CU,M,IHsgImMiOiAiQ1UiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTY3MjgifSA=,IFsgeyAiYyI6ICJDVSIsICJpIjogIjU3MDk2NzI4In0gXSA=
57096726,52,F,IHsgImMiOiAiNTIiLCAiZyI6ICJGIiwgImkiOiAiNTcwOTY3MjYifSA=,IFsgeyAiYyI6ICI1MiIsICJpIjogIjU3MDk2NzI2In0gXSA=
57096724,02,F,IHsgImMiOiAiMDIiLCAiZyI6ICJGIiwgImkiOiAiNTcwOTY3MjQifSA=,IFsgeyAiYyI6ICIwMiIsICJpIjogIjU3MDk2NzI0In0gXSA=
57096723,40,F,IHsgImMiOiAiNDAiLCAiZyI6ICJGIiwgImkiOiAiNTcwOTY3MjMifSA=,IFsgeyAiYyI6ICI0MCIsICJpIjogIjU3MDk2NzIzIn0gXSA=
57096722,TN,M,IHsgImMiOiAiVE4iLCAiZyI6ICJNIiwgImkiOiAiNTcwOTY3MjIifSA=,IFsgeyAiYyI6ICJUTiIsICJpIjogIjU3MDk2NzIyIn0gXSA=
57096720,35,F,IHsgImMiOiAiMzUiLCAiZyI6ICJGIiwgImkiOiAiNTcwOTY3MjAifSA=,IFsgeyAiYyI6ICIzNSIsICJpIjogIjU3MDk2NzIwIn0gXSA=
57096719,02,O,IHsgImMiOiAiMDIiLCAiZyI6ICJPIiwgImkiOiAiNTcwOTY3MTkifSA=,IFsgeyAiYyI6ICIwMiIsICJpIjogIjU3MDk2NzE5In0gXSA=
57096719,52,O,IHsgImMiOiAiNTIiLCAiZyI6ICJPIiwgImkiOiAiNTcwOTY3MTkifSA=,IFsgeyAiYyI6ICI1MiIsICJpIjogIjU3MDk2NzE5In0gXSA=
