PRODUCTO,COLOR,GENERO
37091300,99,M
37091299,52,M
37091299,85,M
37091298,81,M
37091297,76,U
37091296,87,A
37091295,68,M
37091294,05,M
37091294,62,M
37091293,05,M
37091292,TC,H
37091291,79,Q
37091288,02,A
37091287,53,M
37091286,02,F
37091284,37,M
37091282,20,M
37091280,56,M
37091280,99,M
37091279,TC,M
37091278,08,M
37091277,49,H
37091276,TM,M
37091275,59,U
37091275,28,U
37091274,08,U
37091274,83,U
37091274,96,U
37091274,35,U
37091274,94,U
37091274,05,U
37091273,OR,M
37091272,TO,H
37091271,BL,M
37090255,52,M
37090211,OR,M
37090211,PL,M
37090025,05,H
37090025,30,H
37090025,56,H
37089203,95,H
37089098,99,M
37089097,09,M
37089090,88,M
37089089,99,M
37089076,PL,M
37089072,85,M
37089071,07,U
37089062,05,U
37088629,99,M
37088260,09,M
37088255,37,M
37088254,02,D
37087881,52,M
37087880,05,M
37087879,99,M
37087878,70,Q
37087878,99,Q
37087877,37,H
37087877,CU,H
37087877,99,H
37087768,78,M
37087767,20,M
37087766,76,M
37087765,70,M
37087764,03,E
37087763,99,M
37087762,99,M
37087761,99,M
37087760,TM,M
37087759,92,M
37087758,03,U
37087755,30,M
37087754,99,M
37087753,06,M
37087753,45,M
37087752,07,M
37087752,25,M
37087750,07,F
37087750,52,F
37087749,56,A
37087748,99,M
37087747,05,M
37087745,37,A
37087744,06,U
37087741,43,M
37087741,08,M
37087737,TC,E
37087737,TM,E
37087736,49,P
37087735,09,M
37087735,94,M
37087734,85,E
37087731,07,E
37087730,05,M
37087730,94,M
37087729,TC,A
37087728,01,M
37087727,99,M
37087727,43,M
37087726,99,M
37087725,52,M
37087725,02,M
37087724,99,M
37087723,74,M
37087723,99,M
37087723,76,M
37087722,30,M
37087722,99,M
37087720,35,M
37087720,05,M
37087719,02,U
37087718,06,U
37087716,37,O
37087715,30,M
37087715,99,M
37087714,32,M
37087713,49,M
37087712,70,M
37087712,05,M
37087712,09,M
37087711,20,U
37087710,37,U
37087708,05,U
37087707,08,U
37087706,02,U
37087706,37,U
37087705,07,U
37087702,80,U
37087698,37,H
37087112,12,M
37087111,99,M
37087110,PL,A
37087109,PL,A
37087106,81,A
37087105,01,U
37086718,88,Q
37086717,CU,H
37086717,99,H
37086716,30,M
37086715,12,M
37086714,94,M
37086713,99,O
37086711,99,M
37086710,02,M
37086710,80,M
37086709,92,U
37086708,08,Q
37086707,92,U
37086706,20,M
37086704,37,U
37086704,81,U
37086319,99,A
37086317,07,A
37086316,99,M
37086315,99,M
37086314,85,M
37086313,05,M
37086313,99,M
37086312,99,M
37086311,02,F
37086310,85,A
37086309,85,E
37086308,06,H
37086307,43,D
37086306,49,M
37086306,77,M
37086305,81,F
37086304,40,E
37086303,52,O
37086303,38,O
37086303,16,O
37086303,78,O
37085969,08,H
37085968,05,M
37085968,99,M
37085967,76,M
37085966,12,M
37085965,30,M
37085964,99,E
37085962,99,M
37085961,92,M
37085961,30,M
37085960,01,M
37085959,52,M
37085958,52,M
37085957,43,M
37085956,30,U
37085955,30,A
37085954,OR,M
37085953,07,E
37085953,85,E
37085953,02,E
37085952,50,A
37085952,92,A
37085952,81,A
37085951,16,D
37085950,56,D
37085949,30,U
37085948,81,E
37085947,56,O
37085946,99,P
37085946,56,P
37085945,PL,M
37085944,02,M
37085943,99,M
